,Выгрузка банкетов за март 2026,,,,,,,,,,
,Hello Park Селигерская,,,,,,,,,,
,,,,,,,,,,,
,,Резюме,Сумма,% от продаж,Кол-во,% от кол-ва,Комментарии,,,,
,,Общие ,2 504 938,100%,47,100%,,,,,
,,Анимация,202 412,8%,22,47%,,,,,
,,Билеты,315 619,13%,,,,,,,
,,Блюда и напитки,673 837,27%,,,,,,,
,,Праздники прочее,45 750,2%,,,"Продление пати-рума, пиньята, фонтан, шары, выбор костюма",,,,
,,Пакет ДР,1 011 800,40%,22,47%,"Всего 22 пакета (базовый 8, премиум 13, эксклюзив 1), остальные ДР заказываются как банкеты в ресторане",,,,
,,Оператор,3 000,0%,,,,,,,
,,Товары касса,15 460,1%,,,,,,,
,,Торт,108 960,4%,13,28%,,,,,
,,Фотоуслуги ,128 100,5%,19,40%,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Номер строки,Номер чека,Блюдо,Банкет,Категория блюда,Учетный день,Чеков,"Средняя цена, р.","Сумма без скидки, р.","Сумма скидки, р.","Сумма со скидкой, р.",Количество блюд
93,383,Морс клюквенный 1 л,Да,Холодные напитки,06.03.2026,1,600,1 200,0,1 200,2
94,383,Овощной котенок,Да,Детское меню,06.03.2026,1,430,1 290,0,1 290,3
95,383,Пицца 4 сыра со сливочным соусом,Да,Пицца,06.03.2026,1,890,890,0,890,1
96,383,Пицца маргарита,Да,Пицца,06.03.2026,1,650,650,0,650,1
97,383,Пицца пепперони,Да,Пицца,06.03.2026,1,820,820,0,820,1
98,383,Свеча цифра,Да,Шары,06.03.2026,1,150,150,0,150,1
99,383,"Сервис ""Сладкий сбор""",Да,Пробковый сбор,06.03.2026,1,2 000,2 000,0,2 000,1
100,383,Фото А5 (до 5 шт),Да,Фотоуслуги,06.03.2026,1,800,800,0,800,1
101,383,Фото А5 (от 10 шт),Да,Фотоуслуги,06.03.2026,1,500,4 000,0,4 000,8
102,471,Аква минерали 2 л,Да,Холодные напитки,21.03.2026,1,390,390,0,390,1
103,471,Анимация Игра в кальмара,Да,Анимация,21.03.2026,1,0,0,0,0,1
104,471,Ассам,Да,Горячие напитки,21.03.2026,1,350,1 050,0,1 050,3
105,471,Ассорти брускет,Да,На компанию,21.03.2026,1,1 500,3 000,0,3 000,2
106,471,Без  газа,Да,Холодные напитки,21.03.2026,1,0,0,0,0,1
107,471,Билет безлимитный В,Да,Билеты,21.03.2026,1,2 390,4 780,0,4 780,2
108,471,Билет Именниник В,Да,Билеты,21.03.2026,1,1 190,1 190,0,1 190,1
109,471,Браслет голубой безлимит,Да,Браслет,21.03.2026,1,0,0,0,0,3
110,471,Браслет красный банкетный,Да,Браслет,21.03.2026,1,0,0,0,0,1
111,471,Вода 2л,Да,Холодные напитки,21.03.2026,1,0,0,0,0,2
112,471,Капитошки,Да,Праздники,21.03.2026,1,0,0,0,,1
113,471,Картофель фри с наггетсами ,Да,Гарниры,21.03.2026,1,0,0,0,0,4
114,471,Куриные наггетсы с картошкой фри,Да,Детское меню,21.03.2026,1,540,3 780,0,3 780,7
115,471,Лимонад классический 1 л,Да,Холодные напитки,21.03.2026,1,550,1 100,0,1 100,2
116,471,Лимонад клубничный 1 л,Да,Холодные напитки,21.03.2026,1,550,1 100,0,1 100,2
117,471,Морс клюквенный 1л,Да,Холодные напитки,21.03.2026,1,0,0,0,0,4
118,471,Овощной котенок,Да,Детское меню,21.03.2026,1,86,430,0,430,5
119,471,Пиньятта,Да,Прадники прочее,21.03.2026,1,3 500,3 500,0,3 500,1
120,471,Пицца 4 сыра с томатным соусом,Да,Пицца,21.03.2026,1,830,830,0,830,1
121,471,пицца 4 сыра со сливочным соусом,Да,Пицца,21.03.2026,1,0,0,0,0,1
122,471,Пицца 4 сыра со сливочным соусом,Да,Пицца,21.03.2026,1,890,890,0,890,1
123,471,Пицца деревенская,Да,Пицца,21.03.2026,1,960,960,0,960,1
124,471,пицца маргарита,Да,Пицца,21.03.2026,1,0,0,0,0,2
125,471,пицца пепперони,Да,Пицца,21.03.2026,1,0,0,0,0,1
126,471,Пицца пепперони,Да,Пицца,21.03.2026,1,820,820,0,820,1
127,471,Пицца сальмоне,Да,Пицца,21.03.2026,1,1 290,1 290,0,1 290,1
